ds,yhat
2019-10-09,9.14076999636773
2019-10-10,11.3390235979727
2019-10-11,11.136249459231555
2019-10-12,11.82413163442005
2019-10-13,5.1846032094826375
2019-10-14,8.789782152347325
2019-10-15,11.431865962109821
2019-10-16,9.574865965123067
2019-10-17,9.246537729841185
2019-10-18,9.793335338575435
2019-10-19,8.871884138643647
2019-10-20,6.621252774318576
2019-10-21,8.949862963241667
2019-10-22,9.271625337237287
2019-10-23,10.71918948241928
2019-10-24,10.096722289125582
2019-10-25,10.471868192591826
2019-10-26,9.663391253529158
2019-10-27,7.345532019531136
2019-10-28,9.357144172251413
2019-10-29,9.747708350669786
2019-10-30,8.556139768977422
2019-10-31,10.640618033620834
2019-11-01,9.734694108058754
2019-11-02,8.430687177650352
2019-11-03,7.580225809821283
2019-11-04,9.512329816089789
2019-11-05,9.780853711738205
2019-11-06,10.432662024723637
2019-11-07,11.89589163190247
