ds,yhat
2019-10-09,36.4223178074918
2019-10-10,35.19228242787049
2019-10-11,32.86635404737162
2019-10-12,40.02445682258909
2019-10-13,45.72892930378913
2019-10-14,38.73940763586454
2019-10-15,34.05132388458585
2019-10-16,31.155760181040684
2019-10-17,27.302538251128436
2019-10-18,29.01623158856314
2019-10-19,35.52232312826258
2019-10-20,39.51283762288517
2019-10-21,33.220568113939905
2019-10-22,34.273447932634845
2019-10-23,28.635672984652874
2019-10-24,28.5585792327511
2019-10-25,28.888148390777353
2019-10-26,36.993427547591395
2019-10-27,38.455328043413
2019-10-28,30.915350507601246
2019-10-29,29.469368290818867
2019-10-30,29.184175293968615
2019-10-31,31.05038381219762
2019-11-01,27.84321290941379
2019-11-02,34.87329638423425
2019-11-03,35.132910896896114
2019-11-04,29.69310304405738
2019-11-05,28.796450142495647
2019-11-06,30.087258285222585
2019-11-07,27.808829528692605
