ds,y,yhat,yhat_lower,yhat_upper
2018-08-13,23.25,19.130390022951204,-4.760248879100551,43.02102892500296
2018-08-14,12.0,18.006376949146627,-6.069505159743283,42.08225905803654
2018-08-15,32.2,16.719129600269174,-7.5435790851889095,40.98183828572726
2018-08-16,27.4,19.724066354414795,-4.725425194629782,44.17355790345937
2018-08-17,23.0,19.342435920625785,-5.2930592516564445,43.977931092908015
2018-08-18,32.1,21.787930875747847,-3.032466761090628,46.608328512586326
2018-08-19,19.9,20.757845251745312,-4.246222005706734,45.76191250919736
2018-08-20,21.4,18.839806899668066,-6.713402237692158,44.39301603702829
2018-08-21,26.2,17.951856110835127,-7.8142964838723294,43.71800870554259
2018-08-22,18.0,16.868368898414026,-9.109286144198155,42.8460239410262
2018-08-23,35.0,19.058015291693387,-7.12957381989083,45.2456044032776
2018-08-24,38.5,19.139272407756057,-7.256645298218391,45.53519011373051
2018-08-25,27.0,20.807031208215818,-5.795613129319996,47.40967554575163
2018-08-26,57.0,20.68254301951695,-6.12524734617751,47.49033338521141
2018-08-27,16.0,18.625582146899248,-8.564743057538365,45.81590735133686
2018-08-28,26.4,17.76690668812454,-9.643216831467338,45.17703020771641
2018-08-29,28.5,16.71932659581966,-10.909005530525015,44.34765872216433
2018-08-30,38.0,18.83557525877268,-9.009328431011689,46.680478948557045
2018-08-31,17.2,18.913894139633022,-9.14594308511597,46.97373136438202
2018-09-01,19.0,20.525721757871644,-7.747430477328493,48.79887399307178
2018-09-02,20.0,20.405183340649874,-8.079693546654024,48.89006022795377
2018-09-03,27.4,18.41673549456909,-10.446813406329436,47.28028439546762
2018-09-04,22.0,17.586541025999296,-11.502570440376832,46.67565249237542
2018-09-05,28.0,16.573753407144423,-12.739335437481984,45.88684225177083
2018-09-06,18.4,18.619095744243282,-10.91634110298132,48.154532591467884
2018-09-07,42.0,18.69459272303526,-11.061562424970298,48.45074787104082
2018-09-08,35.4,20.25236614357405,-9.722896682456334,50.22762896960444
2018-09-09,50.0,20.135649427954576,-10.057137748272897,50.328436604182045
2018-09-10,49.4,18.213427483221242,-12.354044432041448,48.78089939848393
2018-09-11,50.6,17.410763326796907,-13.387301579609865,48.208828233203675
2019-10-09,,39.05608010532033,15.027706671451973,63.084453539188694
2019-10-10,,38.86878305024761,14.644605351825124,63.092960748670095
2019-10-11,,39.045975084013044,14.601903213508628,63.49004695451746
2019-10-12,,39.66456278666056,15.026092500657164,64.30303307266396
2019-10-13,,42.45167062867644,17.598811179285356,67.30453007806753
2019-10-14,,41.867592668998235,16.821909260959448,66.91327607703703
2019-10-15,,40.532152612970265,15.27707352879439,65.78723169714614
2019-10-16,,40.03752441090111,14.218563914423946,65.85648490737827
2019-10-17,,39.59761431773149,13.53933297870201,65.65589565676098
2019-10-18,,40.4673302108099,14.184391323903792,66.750269097716
2019-10-19,,41.2079684213593,14.690858098076564,67.72507874464203
2019-10-20,,43.41664346009505,16.677871204788133,70.15541571540197
2019-10-21,,42.143065698122015,15.17488473712136,69.11124665912267
2019-10-22,,40.91575369111857,13.728866738675894,68.10264064356124
2019-10-23,,40.814436080287734,13.245219283369664,68.3836528772058
2019-10-24,,40.24053767201988,12.439422288587277,68.04165305545249
2019-10-25,,41.22319818153889,13.184008729515643,69.26238763356214
2019-10-26,,41.81997378653067,13.552129557615586,70.08781801544575
2019-10-27,,44.08585679496127,15.584405732316906,72.58730785760564
2019-10-28,,42.740648399952725,14.013708317545841,71.46758848235962
2019-10-29,,41.645254878132505,12.688888224763733,70.60162153150128
2019-10-30,,41.45673177119611,12.13130871464205,70.78215482775018
2019-10-31,,40.9827870535996,11.41628954119711,70.54928456600209
2019-11-01,,41.862701979291,12.060520357643554,71.66488360093845
2019-11-02,,42.51579922753307,12.476632034390285,72.55496642067587
2019-11-03,,44.656097098327464,14.384686328465392,74.92750786818954
2019-11-04,,43.40851670463066,12.903986133336439,73.91304727592487
2019-11-05,,42.28702396376331,11.553565229909307,73.02048269761731
2019-11-06,,42.156255327944095,11.053799318404469,73.25871133748372
2019-11-07,,41.64791676418165,10.304956474397592,72.9908770539657
