ds,yhat
2019-10-09,2.6589140805771554
2019-10-10,2.2547772550931904
2019-10-11,2.8265657314247723
2019-10-12,2.3627020865507524
2019-10-13,2.413707956728361
2019-10-14,2.1229745521715424
2019-10-15,2.4423105986979494
2019-10-16,2.2206067838461987
2019-10-17,2.1251873013311373
2019-10-18,2.136108692646225
2019-10-19,2.1522242981931066
2019-10-20,2.1990232378950054
2019-10-21,2.0086255092100718
2019-10-22,2.1782096393484442
2019-10-23,2.0966836884560522
2019-10-24,2.111949595682985
2019-10-25,2.344237552766733
2019-10-26,2.3899192299182554
2019-10-27,2.2684523880304313
2019-10-28,2.066869945328408
2019-10-29,2.129138330182476
2019-10-30,2.1731865845302196
2019-10-31,2.1624787749318193
2019-11-01,2.053805919969487
2019-11-02,2.2277499658002684
2019-11-03,2.087793208609817
2019-11-04,1.958197090366076
2019-11-05,2.1122612464863595
2019-11-06,1.8196569368760969
2019-11-07,1.862659554918354
