ds,yhat
2019-10-09,4.059947748912519
2019-10-10,3.8757599995892926
2019-10-11,3.919309498732828
2019-10-12,4.568045833410606
2019-10-13,4.463611682454674
2019-10-14,3.8177657553014477
2019-10-15,3.7983922067410574
2019-10-16,3.7510096480187247
2019-10-17,3.911719348568192
2019-10-18,3.746565797408346
2019-10-19,4.4391550065287415
2019-10-20,4.458763610601998
2019-10-21,3.958342132762063
2019-10-22,3.949340554933714
2019-10-23,3.9877351682802202
2019-10-24,3.9657319864932576
2019-10-25,3.958342132762063
2019-10-26,4.324046486872233
2019-10-27,4.639088837527776
2019-10-28,3.8543338673911576
2019-10-29,3.9218173900289544
2019-10-30,3.8822042020144
2019-10-31,3.983331241846223
2019-11-01,3.6187768569187218
2019-11-02,4.366982037276933
2019-11-03,4.60229502235105
2019-11-04,3.769445019524836
2019-11-05,3.7329202767917273
2019-11-06,3.656670909917029
2019-11-07,3.696697057447312
