ds,yhat
2019-10-09,5.00817349264263
2019-10-10,5.00817349264263
2019-10-11,4.853820642424757
2019-10-12,5.052164917936246
2019-10-13,5.052164917936246
2019-10-14,4.885053092143905
2019-10-15,5.0774417856283485
2019-10-16,4.892042495810642
2019-10-17,5.00817349264263
2019-10-18,5.00817349264263
2019-10-19,5.052164917936246
2019-10-20,5.13384273739483
2019-10-21,5.0774417856283485
2019-10-22,5.0774417856283485
2019-10-23,4.853820642424757
2019-10-24,5.00817349264263
2019-10-25,5.00817349264263
2019-10-26,5.330030895568503
2019-10-27,5.052164917936246
2019-10-28,5.0774417856283485
2019-10-29,5.0774417856283485
2019-10-30,5.00817349264263
2019-10-31,4.98141387152918
2019-11-01,4.98141387152918
2019-11-02,5.052164917936246
2019-11-03,5.330030895568503
2019-11-04,4.98141387152918
2019-11-05,5.0774417856283485
2019-11-06,4.853820642424757
2019-11-07,5.00817349264263
