ds,yhat,yhat_lower,yhat_upper
2019-10-09,41.92156441015319,25.97381786801355,58.04284249710854
2019-10-10,42.042775014676806,25.156629677202606,57.274047856398546
2019-10-11,42.47478455495429,26.10058741891061,58.0065728802104
2019-10-12,47.42528837316527,30.89982038842911,62.706717198271534
2019-10-13,47.15669251422224,32.372397439560004,63.743653458101306
2019-10-14,42.8714822687596,26.24598379773145,58.860322900731646
2019-10-15,41.84580937894419,25.930365759898564,57.76599695759706
2019-10-16,41.38591037229371,25.474488418707917,57.72011923530981
2019-10-17,41.20760491845447,25.02728199777457,57.369260823558584
2019-10-18,41.35063832486336,25.092363954204117,59.13091134733993
2019-10-19,46.02465535176963,30.5381397800596,62.38651412886859
2019-10-20,45.49398378837137,30.790637488920957,61.948668449964465
2019-10-21,40.962977179390684,25.44288984984462,56.85290652705966
2019-10-22,39.709572487197235,23.129806840297572,55.15979812201632
2019-10-23,39.041675899731636,24.214386231953213,55.52943600685887
2019-10-24,38.676626615612506,23.170666051711294,53.94497252754462
2019-10-25,38.65550382229275,22.634886658756994,54.659790646946114
2019-10-26,43.18906527437657,26.727834185975205,60.260865840787396
2019-10-27,42.54249722579863,26.672535683650832,58.243582174151115
2019-10-28,37.92072645607713,22.588227053871183,53.546597416584454
2019-10-29,36.60195151608252,20.89918647855852,51.621972714648514
2019-10-30,35.89400768367598,20.798677961292576,52.616270574700216
2019-10-31,35.5138166291202,19.391321504500482,52.42149377696125
2019-11-01,35.50168701674767,19.48736788886192,51.434579332468225
2019-11-02,40.067255257661785,23.63218055066476,54.26230294170927
2019-11-03,39.474246734172716,23.446922477954836,55.09072756444711
2019-11-04,34.925808530787165,18.552726857201677,50.65198777753157
2019-11-05,33.69807079651527,17.884140695591718,48.97751268728338
2019-11-06,33.09655091860175,17.737957739190424,50.22690570625801
2019-11-07,32.835650884365315,16.83378682677535,48.35456492750623
