ds,yhat
2019-10-09,5.115173609591023
2019-10-10,6.379613530384164
2019-10-11,6.106555080737144
2019-10-12,6.027202581930823
2019-10-13,5.161476484380328
2019-10-14,5.778686496612557
2019-10-15,7.464857337725939
2019-10-16,6.923858574769039
2019-10-17,5.089360360544008
2019-10-18,5.652455141081917
2019-10-19,6.368398349207657
2019-10-20,6.420579676855245
2019-10-21,7.632602017868743
2019-10-22,6.497519221929486
2019-10-23,6.247316255501602
2019-10-24,6.39207534940871
2019-10-25,5.524750846906173
2019-10-26,7.314059235890115
2019-10-27,5.873395721982929
2019-10-28,5.8801268754596325
2019-10-29,6.65209052801687
2019-10-30,7.585687072144411
2019-10-31,7.246504644308562
2019-11-01,5.620243243059207
2019-11-02,5.793391240496317
2019-11-03,5.5630094002317945
2019-11-04,5.340033166980423
2019-11-05,6.137882725640404
2019-11-06,6.085509066680492
2019-11-07,5.552255636867194
