ds,y,yhat,yhat_lower,yhat_upper
2018-08-13,23.25,20.526070965688767,-3.4135286851718654,44.4656706165494
2018-08-14,12.0,20.31950097487408,-3.805721039200481,44.44472298894864
2018-08-15,32.2,20.184243431299198,-4.085563984787097,44.45405084738549
2018-08-16,27.4,21.110942049851214,-3.2059527114516015,45.42783681115403
2018-08-17,23.0,22.008191075387064,-2.452376436645192,46.468758587419316
2018-08-18,32.1,22.363826773876298,-2.3159079322857536,47.04356148003835
2018-08-19,19.9,22.387900063210324,-2.6083088443971967,47.38410897081785
2018-08-20,21.4,21.465001975379145,-3.8654721005269046,46.79547605128519
2018-08-21,26.2,21.2855889824302,-4.181855071951283,46.75303303681168
2018-08-22,18.0,21.171382876443634,-4.407016244679465,46.74978199756673
2018-08-23,35.0,21.98730492959102,-3.626273078164619,47.600882937346654
2018-08-24,38.5,22.82837337983496,-2.8926326104111943,48.54937937008111
2018-08-25,27.0,23.114285412078257,-2.7784140707044074,49.00698489486092
2018-08-26,57.0,23.16254368408233,-2.9682881393944385,49.2933755075591
2018-08-27,16.0,22.30817158485637,-4.086227802827281,48.70257097254002
2018-08-28,26.4,22.149485299397952,-4.347540461025371,48.64651105982128
2018-08-29,28.5,22.05723966392969,-4.525906798108789,48.64038612596816
2018-08-30,38.0,22.771653860534837,-3.8383270176913022,49.38163473876098
2018-08-31,17.2,23.561586837715396,-3.129424890340754,50.25259856577155
2018-09-01,19.0,23.78683575935998,-3.040807163318945,50.61447868203891
2018-09-02,20.0,23.853816445069917,-3.154821166237678,50.862454056377516
2018-09-03,27.4,23.065445207977824,-4.153320254890236,50.28421067084588
2018-09-04,22.0,22.92201379123591,-4.374499901999506,50.21852748447132
2018-09-05,28.0,22.852094129219825,-4.511689960976128,50.21587821941578
2018-09-06,18.4,23.4738421340814,-3.9107690171232186,50.85845328528602
2018-09-07,42.0,24.21681398187087,-3.2291693297003867,51.662797293442125
2018-09-08,35.4,24.389778632087364,-3.16620142679583,51.94575869097056
2018-09-09,50.0,24.470518269802106,-3.2239380314306736,52.16497457103489
2018-09-10,49.4,23.74564350273573,-4.1176023869100185,51.608889392381485
2018-09-11,50.6,23.612875230433186,-4.309786465655609,51.535536926521985
2019-10-09,,37.541148928154854,13.475192184640623,61.60710567166909
2019-10-10,,37.22797272169882,12.990345480211552,61.46559996318609
2019-10-11,,38.738274843293624,14.403437580691229,63.073112105896016
2019-10-12,,41.17538850902436,16.7524752439673,65.59830177408142
2019-10-13,,42.24983936484718,17.71684316376526,66.7828355659291
2019-10-14,,41.38143979187804,16.647773341501402,66.11510624225467
2019-10-15,,38.823376588303255,13.827053980876979,63.81969919572953
2019-10-16,,36.682210580421255,11.407427147645123,61.95699401319739
2019-10-17,,36.16211569532613,10.691338160488971,61.63289323016329
2019-10-18,,37.76214613510932,12.158016596577358,63.36627567364128
2019-10-19,,39.88190096425595,14.178632974667348,65.58516895384454
2019-10-20,,41.021555371033536,15.185155487687119,66.85795525437996
2019-10-21,,39.98758907722673,13.956712812941046,66.01846534151241
2019-10-22,,37.653361960671205,11.356281600726941,63.950442320615466
2019-10-23,,35.4578513680486,8.909539023148874,62.00616371294833
2019-10-24,,35.09451196645583,8.356574929691188,61.832449003220475
2019-10-25,,36.504950384941196,9.652293484303495,63.357607285578894
2019-10-26,,38.637170727385566,11.691372900105161,65.58296855466597
2019-10-27,,39.593379082225745,12.537877219984239,66.64888094446725
2019-10-28,,38.683075105683145,11.455831045060908,65.91031916630538
2019-10-29,,36.342214885952274,8.898118301724935,63.78631147017961
2019-10-30,,34.344266903533466,6.686493988221017,62.002039818845915
2019-10-31,,33.93128510557515,6.125929341603673,61.736640869546626
2019-11-01,,35.3815408340061,7.484055603537758,63.27902606447445
2019-11-02,,37.34704807895312,9.382677171207568,65.31141898669867
2019-11-03,,38.32558880361459,10.275479063342551,66.37569854388664
2019-11-04,,37.37410333573273,9.19511731332128,65.55308935814418
2019-11-05,,35.20251562171246,6.851014874481898,63.55401636894302
2019-11-06,,33.24914238016377,4.736778664459983,61.76150609586755
2019-11-07,,32.94330557458477,4.318760231064335,61.56785091810521
