ds,yhat,yhat_lower,yhat_upper
2019-10-09,5.0327558016350515,1.8294727707176466,8.658993850118764
2019-10-10,4.750780440386233,1.3286132953723215,8.127668309879018
2019-10-11,4.931191235883329,1.5958503989008037,8.14870086082063
2019-10-12,5.845040266166631,2.543212292108921,9.211688384110689
2019-10-13,5.359626302939513,1.9970109486763026,8.547099492849428
2019-10-14,5.082992659999188,1.8955798800800656,8.487377457609446
2019-10-15,5.030179968503096,1.6809073604347173,8.380656677938923
2019-10-16,4.738539987007248,1.270811320008,8.152811672682928
2019-10-17,4.454471812016295,1.2180561458183994,7.892413263758522
2019-10-18,4.640444905443393,1.2178127094735405,8.052461792812391
2019-10-19,5.567596618209999,2.1184026895477044,8.868359117388232
2019-10-20,5.103115747154475,1.8056040971308593,8.690303696227348
2019-10-21,4.85474008980443,1.314875908420635,8.20520062085524
2019-10-22,4.837013867655478,1.143542790466709,8.307961757320628
2019-10-23,4.58661105413041,1.4172225904818712,8.238458908233033
2019-10-24,4.349085775567376,0.8336677592599344,7.5694405502786015
2019-10-25,4.585913883105077,1.169530436782859,8.1196838113208
2019-10-26,5.567112942450773,2.029634094287908,8.862793597687409
2019-10-27,5.158651643390834,1.793286606235274,8.475230429473315
2019-10-28,4.966975968397157,1.5363453252623083,8.383743628434466
2019-10-29,5.005297291634887,1.5972970134049211,8.473566856982197
2019-10-30,4.808947688761359,1.390738632335843,8.025351090460195
2019-10-31,4.6221628327720135,1.1980484314018822,8.066982518715385
2019-11-01,4.905155763707558,1.5859975204998804,8.275711017023294
2019-11-02,5.926767972950504,2.417661467195869,9.13354949240952
2019-11-03,5.551908022201542,2.3968566163188347,8.951377029375193
2019-11-04,5.386104299380325,2.0808408694938114,8.78531661088724
2019-11-05,5.441816409406031,1.9344304853866494,8.755779082696279
2019-11-06,5.253809887977317,1.8044755922258615,8.651543173760876
2019-11-07,5.065954117895411,1.350905412523912,8.330161238168625
