ds,yhat
2019-10-09,2.331834957169105
2019-10-10,3.408500445584152
2019-10-11,2.944202853729787
2019-10-12,2.7755667752705984
2019-10-13,2.502563708053475
2019-10-14,2.951924960738085
2019-10-15,2.128749590353679
2019-10-16,3.245893421442975
2019-10-17,2.4737686297332195
2019-10-18,3.207192627480907
2019-10-19,2.2693652477617596
2019-10-20,2.8280182011575747
2019-10-21,3.4228914857339494
2019-10-22,2.7262247449412302
2019-10-23,3.0652656720670395
2019-10-24,3.0743026818365227
2019-10-25,3.468274445888121
2019-10-26,2.549955904891041
2019-10-27,2.370056101215458
2019-10-28,2.776199680885345
2019-10-29,2.6874969998507146
2019-10-30,2.4586856983843735
2019-10-31,2.886748226415855
2019-11-01,2.289252196300977
2019-11-02,3.0257438617396457
2019-11-03,2.936450163868233
2019-11-04,3.4505487465436353
2019-11-05,2.7064286756815026
2019-11-06,2.8008967204479203
2019-11-07,2.8439513757303074
