ds,yhat,yhat_lower,yhat_upper
2019-10-09,2.73596325349414,-0.15289353555198076,5.552649972646133
2019-10-10,2.6654661612348454,-0.237734276972023,5.37561724442399
2019-10-11,2.8736092678249525,-0.04452352474396027,5.688851069313608
2019-10-12,3.2091698646130116,0.3906368917252572,6.181847681761073
2019-10-13,2.5423728976805897,-0.2835846066151175,5.502087700319851
2019-10-14,2.949829366681794,0.04082633963169457,6.015553623676959
2019-10-15,3.309912211100523,0.470804761515309,6.121852905497008
2019-10-16,2.8733252867641834,-0.09614896513727171,5.885658364395957
2019-10-17,2.8128686211775067,0.01221306246167179,5.7419544109696075
2019-10-18,3.030088793125874,0.018395247001950395,5.966616351905091
2019-10-19,3.3734805054276067,0.5822753888097699,6.296282981401598
2019-10-20,2.7130191074400587,-0.48003620888086423,5.455528328225096
2019-10-21,3.125106116176849,0.26090848915889736,5.907498273398438
2019-10-22,3.4879510266903955,0.728132719249964,6.289983742822794
2019-10-23,3.05214483839649,0.2664453756845642,5.866164070494514
2019-10-24,2.9904283486304237,0.15041673692441,5.986563511296444
2019-10-25,3.204343964714279,0.3189603116265234,6.0753741174765015
2019-10-26,3.542437055500598,0.8447405776758796,6.4785533943462905
2019-10-27,2.8747865992146573,-0.0801185816517179,5.7450033109468635
2019-10-28,3.277947225134916,0.16151020884582654,6.023001303344041
2019-10-29,3.6303260361322227,0.5913791299104445,6.495496890311357
2019-10-30,3.1827497804059606,0.39350262588696494,6.261811944818956
2019-10-31,3.108225607097528,0.2823152284581498,6.038249210787878
2019-11-01,3.308584377229989,0.38998834956445677,6.302794948321065
2019-11-02,3.6326728020577805,0.8772408413426983,6.628250767662664
2019-11-03,2.9508744405946365,0.11765231521122914,5.670923328716607
2019-11-04,3.340041945011241,0.4467947274989488,6.14943665520214
2019-11-05,3.6788642399972544,0.88573597119363,6.5878812943011535
2019-11-06,3.2184245027268714,0.2975953851921066,5.854403990888068
2019-11-07,3.1319524669664163,0.22217513117625223,5.909732619906288
