ds,yhat,yhat_lower,yhat_upper
2019-10-09,10.325826347001898,3.9375977373745434,17.227234161770248
2019-10-10,8.978006681298686,2.1698154549712343,15.484131922317228
2019-10-11,10.235794316363213,3.5580706258633565,17.00848162865239
2019-10-12,8.994390705817663,1.9658550268033228,15.963075179265706
2019-10-13,6.30337152305912,-0.0996572791354025,12.697185829826255
2019-10-14,9.843288986547632,3.171006413486269,16.856601308788253
2019-10-15,10.312200932752564,3.606367355845277,16.47335311008591
2019-10-16,10.90557431267528,3.836987339719429,17.589218907323485
2019-10-17,9.580770836941374,3.2620522925889506,16.504293968647996
2019-10-18,10.852091939289883,4.387131130528341,17.346024218127273
2019-10-19,9.614542133455714,3.378421700758669,16.168211150981612
2019-10-20,6.917692468809767,0.07986138614797174,13.080904146610958
2019-10-21,10.442278650781812,4.053603574584965,17.253061964418112
2019-10-22,10.88672204726766,4.53161909505617,17.32808877886183
2019-10-23,11.44702156588404,4.977839236731576,17.885389311227016
2019-10-24,10.081224504268299,3.6052341420645773,17.12790939465765
2019-10-25,11.304453976258284,5.176499212545091,18.21730350380521
2019-10-26,10.01265246513014,3.219722432940845,16.24802169475687
2019-10-27,7.256423715381674,0.20031783421490731,13.692577557540414
2019-10-28,10.717608051252178,4.390271691568875,17.235112549616556
2019-10-29,11.095779869239406,4.495617451768047,17.52899356185275
2019-10-30,11.58811580586727,5.112580210979002,17.99829942378121
2019-10-31,10.153842179567906,3.460509942207185,16.87807527244758
2019-11-01,11.309239774836515,4.699482768549724,18.02975301236503
2019-11-02,9.95136594617683,3.3784561601686955,16.827985754624944
2019-11-03,7.1318766328086305,0.3466744465255316,14.15519513174345
2019-11-04,10.533583699369181,4.220848386388358,17.317209544387918
2019-11-05,10.856936621081722,4.2818769620745245,17.78223546960006
2019-11-06,11.299877227160492,4.218498577896013,17.614941472253076
2019-11-07,9.822276254965924,3.0761514970954047,16.383146814975703
