ds,yhat,horizon_index
2019-10-09,4.839104,0
2019-10-10,4.664023,1
2019-10-11,4.907761,2
2019-10-12,4.7207727,3
2019-10-13,4.8482747,4
2019-10-14,4.766801,5
2019-10-15,4.955804,6
2019-10-16,5.022341,7
2019-10-17,4.9693236,8
2019-10-18,4.864226,9
2019-10-19,4.972904,10
2019-10-20,4.8969846,11
2019-10-21,4.8678665,12
2019-10-22,4.927721,13
2019-10-23,4.9423223,14
2019-10-24,4.7192297,15
2019-10-25,4.8332543,16
2019-10-26,4.885651,17
2019-10-27,4.64072,18
2019-10-28,4.76872,19
2019-10-29,4.786145,20
2019-10-30,4.918339,21
2019-10-31,5.055664,22
2019-11-01,4.9799743,23
2019-11-02,5.097407,24
2019-11-03,4.8787346,25
2019-11-04,4.822664,26
2019-11-05,4.644167,27
2019-11-06,4.755705,28
2019-11-07,4.76075,29
