ds,yhat,yhat_lower,yhat_upper
2019-10-09,0.8171113924333259,-0.4615949553958086,2.22524348468097
2019-10-10,0.6634397223101259,-0.6462822371414979,2.0779808342758765
2019-10-11,0.9017452112256423,-0.49669080945514626,2.2582958576501673
2019-10-12,0.6738203151530867,-0.7613621815989884,2.0291656506122715
2019-10-13,0.44788914617143344,-0.8697754196397666,1.8646123850992746
2019-10-14,0.7162739948643022,-0.5615576469666672,2.0999938543169057
2019-10-15,0.8154240008467855,-0.5864186486012866,2.154979667922181
2019-10-16,0.7298517997480249,-0.7369604022757429,2.1223020821595546
2019-10-17,0.5760929322302215,-0.9210441441277255,1.932422007245319
2019-10-18,0.8166326029529167,-0.5791799264736787,2.1178183502695993
2019-10-19,0.5932208673542709,-0.9160441059217628,1.8299035423890762
2019-10-20,0.37398288524137663,-0.8915317825731137,1.7830191709140766
2019-10-21,0.6510875848456685,-0.6721174826782325,1.9361764189814108
2019-10-22,0.76077995135235,-0.5406902108286341,2.1724791895228623
2019-10-23,0.6873226844830991,-0.6314642527322696,2.0757765771066543
2019-10-24,0.5469618867086845,-0.806207447775286,1.8675370147159807
2019-10-25,0.8018612087940638,-0.5492018768584851,2.178752631103792
2019-10-26,0.5934253363395323,-0.7422026744590805,1.954408738294713
2019-10-27,0.38941923433709824,-0.917961748955539,1.7619043892573
2019-10-28,0.6816462496485326,-0.6178118483694993,2.1279102051665997
2019-10-29,0.8059900267527196,-0.5398221427125058,2.1450176449557903
2019-10-30,0.746365714904117,-0.5831397510527568,2.0801976237350903
2019-10-31,0.6186948617823141,-0.7498040230124849,2.1328715919308348
2019-11-01,0.8848481612710283,-0.5654971048042298,2.319257713319012
2019-11-02,0.6859766950267691,-0.5675923404030839,2.0396701032845317
2019-11-03,0.48963786298693435,-0.9248503151811649,1.9230975348826045
2019-11-04,0.7874789095761667,-0.5840389572823748,2.151587152854035
2019-11-05,0.9152828423586876,-0.42601564162427835,2.311702677105765
2019-11-06,0.8569221020376674,-0.5092625836962381,2.206099577119453
2019-11-07,0.7283343027892819,-0.721991873977693,2.078089852233589
