ds,yhat
2019-10-09,0.6361514145537749
2019-10-10,0.5135805627162533
2019-10-11,0.5232286293874984
2019-10-12,0.4735676216746727
2019-10-13,0.4812002993950181
2019-10-14,0.5325217988716489
2019-10-15,0.5216381117104554
2019-10-16,0.5040123429634362
2019-10-17,0.5445594073155837
2019-10-18,0.5236458997251301
2019-10-19,0.4944984885155615
2019-10-20,0.48771381671918124
2019-10-21,0.5158080417992819
2019-10-22,0.48268156503535103
2019-10-23,0.5040123429634362
2019-10-24,0.5232286293874984
2019-10-25,0.5235218194417779
2019-10-26,0.5097488982645486
2019-10-27,0.4697615455486456
2019-10-28,0.5235218194417779
2019-10-29,0.5002485503183107
2019-10-30,0.5448283803014622
2019-10-31,0.702252168476904
2019-11-01,0.567928646423624
2019-11-02,0.5551580643512154
2019-11-03,0.4626300105070399
2019-11-04,0.5583604266708071
2019-11-05,0.5583604266708071
2019-11-06,0.6258317935560006
2019-11-07,0.5583604266708071
