ds,y,yhat,yhat_lower,yhat_upper
2018-08-13,2.0,3.7762031609590148,-0.1270343135162193,7.679440635434249
2018-08-14,5.0,3.7965927903954517,-0.12297205181802351,7.716157632608927
2018-08-15,1.0,3.38437881101427,-0.5525628852872884,7.3213205073158285
2018-08-16,5.0,3.6123594651504813,-0.3470664149685696,7.571785345269532
2018-08-17,1.0,3.850912977715767,-0.12509497008331572,7.82692092551485
2018-08-18,0.0,3.4301261949801,-0.5601896907037562,7.420442080663957
2018-08-19,6.0,3.4530753760031785,-0.5572803905896317,7.463431142595988
2018-08-20,3.0,3.8265267570121213,-0.20041743544489643,7.8534709494691395
2018-08-21,4.0,3.547699703113346,-0.4916161849516447,7.587015591178337
2018-08-22,4.0,3.3363712506870216,-0.7197704302718102,7.392512931645854
2018-08-23,3.0,3.731929028337663,-0.34175334138100144,7.805611398056327
2018-08-24,4.0,3.660300820735278,-0.4249917249212669,7.745593366391823
2018-08-25,2.5,3.2935532650445776,-0.8053820953221864,7.3924886254113416
2018-08-26,4.3,3.5863316342465197,-0.5297366176145042,7.702399886107544
2018-08-27,1.0,3.7378101578285463,-0.38998759524426063,7.865607910901353
2018-08-28,3.0,3.3268491829563462,-0.8119618650489695,7.465660230961662
2018-08-29,3.0,3.4276470311168388,-0.7268786270845724,7.58217268931825
2018-08-30,2.0,3.7504521794954866,-0.4164218315357924,7.917326190526765
2018-08-31,4.0,3.418115570650102,-0.7580142853445069,7.5942454266447115
2018-09-01,2.0,3.297374574753946,-0.8922490696880065,7.486998219195899
2018-09-02,2.0,3.688817560501332,-0.513777857191906,7.89141297819457
2018-09-03,4.0,3.5322107740427926,-0.6788020773917331,7.743223625477318
2018-09-04,2.0,3.227975024786713,-0.9940197904416657,7.4499698400150915
2018-09-05,2.0,3.5663663163721706,-0.6687250610318607,7.801457693776202
2018-09-06,0.0,3.627899543386324,-0.6155596612946064,7.871358748067255
2018-09-07,7.7,3.2331881855718394,-1.0189992744955583,7.4853756456392375
2018-09-08,1.0,3.4149699299193754,-0.8496215591313474,7.679561418970098
2018-09-09,5.0,3.670422393940176,-0.603027386085631,7.943872173965983
2018-09-10,2.0,3.3041750594893076,-0.9763704477035153,7.5847205666821305
2018-09-11,4.0,3.2749559504955084,-1.016506070918025,7.566417971909042
2019-10-09,,2.4101486470939477,-1.5668900495203522,6.387187343708248
2019-10-10,,2.060367772132514,-1.940599391380602,6.061334935645631
2019-10-11,,2.0338385166168234,-1.985123883324455,6.052800916558102
2019-10-12,,2.442913595082806,-1.5973509482730357,6.483178138438648
2019-10-13,,2.0755561504820137,-1.9866415296380402,6.137753830602067
2019-10-14,,2.0580163639348985,-2.0205758241956744,6.136608552065471
2019-10-15,,2.4681799414406953,-1.6296734521754743,6.566033335056865
2019-10-16,,2.1438170406029657,-1.9691852667803946,6.256819347986326
2019-10-17,,2.067204259199503,-2.0602819740038045,6.1946904924028106
2019-10-18,,2.4596555457748566,-1.6848193984635755,6.604130490013288
2019-10-19,,2.1856166671333987,-1.9768584263912485,6.348091760658046
2019-10-20,,2.089946733193318,-2.085778645012474,6.26567211139911
2019-10-21,,2.4769200779375113,-1.7142016706255632,6.668041826500586
2019-10-22,,2.2257907427514514,-1.981896646590057,6.43347813209296
2019-10-23,,2.112502726631515,-2.107326862459484,6.332332315722514
2019-10-24,,2.4928715798647874,-1.7409223465498256,6.7266655062794
2019-10-25,,2.264359942409143,-1.9846912216377244,6.51341110645601
2019-10-26,,2.1348787506655276,-2.125316602554001,6.395074103885056
2019-10-27,,2.5076025073504025,-1.765267062866211,6.7804720775670155
2019-10-28,,2.3013466722314404,-1.985583972173313,6.588277316636194
2019-10-29,,2.15707850845133,-2.1400952322076314,6.454252249110292
2019-10-30,,2.5212017232640376,-1.7874822385307274,6.829885685058803
2019-10-31,,2.3367750117826716,-1.9848742502420254,6.658424273807368
2019-11-01,,2.179103156616127,-2.151973768682518,6.510180081914772
2019-11-02,,2.5337544803048053,-1.8077811437243887,6.875290104333999
2019-11-03,,2.370670648515271,-1.9828246878283156,6.724165984858857
2019-11-04,,2.2009515572386,-2.161231977911701,6.563135092388901
2019-11-05,,2.5453424137068774,-1.8263488909454386,6.9170337183591935
2019-11-06,,2.4030608052601803,-1.9796659644464079,6.785787574966768
2019-11-07,,2.2226205200969047,-2.1681225644222226,6.613363604616032
