ds,y,yhat,yhat_lower,yhat_upper
2018-08-13,15.0,8.792654932932223,-1.7995793987991817,19.384889264663627
2018-08-14,9.0,8.814477164603238,-1.9302847843263784,19.559239113532854
2018-08-15,13.0,8.826110086126237,-1.9897103790656594,19.641930551318133
2018-08-16,6.0,8.83231132462468,-2.02392644023573,19.68854908948509
2018-08-17,5.0,8.835617059889767,-2.0482479904401085,19.719482110219644
2018-08-18,5.0,8.837379270074972,-2.068286233388662,19.743044773538607
2018-08-19,3.0,8.838318663126085,-2.0863150349306423,19.762952361182812
2018-08-20,7.0,8.838819431599612,-2.1033433236956167,19.78098218689484
2018-08-21,4.0,8.839086379565408,-2.11985103070357,19.79802378983439
2018-08-22,4.0,8.839228683285013,-2.136077393416935,19.814534759986962
2018-08-23,8.0,8.839304542071023,-2.1521451486638252,19.830754232805873
2018-08-24,7.0,8.839344980616346,-2.1681183335369543,19.846808294769644
2018-08-25,4.0,8.839366537459448,-2.18403068898294,19.862763763901835
2018-08-26,10.0,8.839378028908529,-2.19990010386139,19.87865616167845
2018-08-27,6.0,8.839384154731375,-2.215736109462778,19.89450441892553
2018-08-28,7.0,8.83938742026432,-2.2315438124504556,19.910318652979093
2018-08-29,10.0,8.839389161043588,-2.247325971661894,19.92610429374907
2018-08-30,7.0,8.839390089012317,-2.263084098479297,19.94186427650393
2018-08-31,13.0,8.839390583690752,-2.278819040911621,19.957600208293126
2018-09-01,6.0,8.839390847392261,-2.2945312939325397,19.973312988717062
2018-09-02,5.0,8.83939098796537,-2.310221164458971,19.989003140389713
2018-09-03,12.0,8.839391062901608,-2.325888859081372,20.00467098488459
2018-09-04,7.0,8.839391102848365,-2.341534530724399,20.02031673642113
2018-09-05,11.0,8.839391124143047,-2.3571583034675196,20.03594055175361
2018-09-06,13.0,8.839391135494743,-2.3727602857500063,20.05154255673949
2018-09-07,6.0,8.839391141546068,-2.3883405773977593,20.067122860489896
2018-09-08,12.0,8.839391144771888,-2.4038992733638747,20.082681562907652
2018-09-09,2.0,8.839391146491497,-2.4194364657211693,20.098218758704164
2018-09-10,14.0,8.83939114740818,-2.4349522447248404,20.113734539541202
2018-09-11,15.0,8.839391147896844,-2.4504466993804765,20.129228995174167
2019-10-09,,9.836352736009804,-0.3338342000988206,20.00653967211843
2019-10-10,,9.207255796233735,-1.0980775553385502,19.51258914780602
2019-10-11,,8.902020949629557,-1.460006833622245,19.26404873288136
2019-10-12,,8.753922452099685,-1.638983866246198,19.146828770445566
2019-10-13,,8.682065764651911,-1.7320156238785476,19.096147153182372
2019-10-14,,8.647201241263174,-1.7840010722355188,19.078403554761866
2019-10-15,,8.630285140141657,-1.8162183812285662,19.07678866151188
2019-10-16,,8.622077528238785,-1.838872387635842,19.083027444113412
2019-10-17,,8.618095233934426,-1.8568861890717283,19.093076656940582
2019-10-18,,8.616163043656158,-1.872641705675786,19.104967792988102
2019-10-19,,8.615225554112167,-1.8872930102199525,19.117744118444286
2019-10-20,,8.614770688639041,-1.9013996668008826,19.130941044078966
2019-10-21,,8.614549990072355,-1.9152330937663233,19.144333073911035
2019-10-22,,8.614442908176246,-1.9289249824655172,19.15781079881801
2019-10-23,,8.614390952548954,-1.9425392518362106,19.17132115693412
2019-10-24,,8.614365743925411,-1.9561069449319994,19.184838432782822
2019-10-25,,8.614353512821024,-1.9696431559512888,19.198350181593337
2019-10-26,,8.61434757834728,-1.983155241607946,19.211850398302506
2019-10-27,,8.61434469896881,-1.9966468046640227,19.225336202601646
2019-10-28,,8.614343301908058,-2.010119626476536,19.238806230292653
2019-10-29,,8.614342624060816,-2.023574604551678,19.252259852673312
2019-10-30,,8.614342295172555,-2.0370122073923156,19.265696797737426
2019-10-31,,8.614342135597534,-2.050432695165446,19.27911696636051
2019-11-01,,8.614342058172491,-2.063836226759202,19.292520343104187
2019-11-02,,8.614342020606228,-2.0772229117226395,19.305906952935096
2019-11-03,,8.614342002379257,-2.090592835465749,19.319276840224262
2019-11-04,,8.614341993535616,-2.103946071486863,19.332630058558095
2019-11-05,,8.614341989244723,-2.11728268730643,19.345966665795878
2019-11-06,,8.614341987162803,-2.1306027473475027,19.359286721673108
2019-11-07,,8.614341986152665,-2.1439063143348704,19.3725902866402
